Genome,User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings,domain,phylum,class,order,family,genus,species,Bin Name,Marker Lineage,# Genomes,# Markers,# Marker Sets,0,1,2,3,4,5+,Completeness,Contamination,Translation table,GC std,# ambiguous bases,Genome size,Longest contig,N50 (scaffolds),Mean scaffold length,# contigs,# scaffolds,# predicted genes,Longest scaffold,GC,N50 (contigs),Coding density,Mean contig length,Genome size (Mbp),kruskal_season_p,kruskal_season_p_corr,kruskal_depth_p,kruskal_depth_p_corr,spearman_depth_p,spearman_depth_p_corr,spearman_depth_r,median_rel_abun,mean_rel_abun,max_rel_abun,class_plus
3300060478_1009,3300060478_1009__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,82.62,0.92152,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__RBG-13-51-18,s__,3300060478_1009__dereplicated_genomes,k__Bacteria,924,151,101,10,138,3,0,0,0,90.76,1.1,11,0.013811978888313531,0,1958729,224505,122450,59355.42424242424,33,33,1919,224505,0.5194148858775257,122450,0.8993510587733168,59355.42424242424,1.958729,0.4345585159930926,0.929582727653642,0.0008169627614688294,0.009601841618471552,0.00016523553677573035,0.002217164087207212,0.63676758586955,0.011757327,0.038087058052777775,0.46178705,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;
3300055390_860,3300055390_860__dereplicated_genomes,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__,-,-,-,-,-,GCA_023129715.1,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__JAGMBO01 sp023129715,77.26,0.204,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,91.44,0.8732,-,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__CAIMUX01,f__WJJG01,g__JAGMBO01,s__,3300055390_860__dereplicated_genomes,k__Bacteria,2993,147,91,6,137,4,0,0,0,95.6,3.36,11,0.017488837809437777,0,4467230,212118,65628,32847.279411764706,136,136,3391,212118,0.6788602780694076,65628,0.8888114110981525,32847.279411764706,4.46723,0.7657882593210759,0.9605180220828018,0.013116307912294638,0.028783184667947017,0.004042942120262928,0.00972123161501423,0.48578145726130617,0.010654228,0.013285801455555553,0.042448793,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;
3300060478_1124,3300060478_1124__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__UBA8522;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017886205.1, s__UBA8522 sp01788620...",78.71,0.93588,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA8522,g__UBA8522,s__,3300060478_1124__dereplicated_genomes,k__Bacteria,2258,188,117,25,155,8,0,0,0,81.74,4.49,11,0.02332376606353842,0,3636020,79681,14573,10662.815249266861,341,341,3235,79681,0.593704930115896,14573,0.9254195521476779,10662.815249266861,3.63602,0.7134757334908242,0.9605180220828018,0.00046867172303589183,0.009601841618471552,9.304468507826617e-05,0.002217164087207212,0.6606411433213178,0.012039869,0.018238808819444445,0.13588075,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;
3300060478_479,3300060478_479__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__,-,-,-,-,-,GCA_016929335.1,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp016929335,80.66,0.561,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,61.93,0.95223,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__UBA6911,f__UBA6911,g__JAAYAM01,s__,3300060478_479__dereplicated_genomes,k__Bacteria,2258,188,117,52,123,13,0,0,0,81.81,8.21,11,0.017656289820385637,0,4575652,39933,7701,7116.099533437014,643,643,4259,39933,0.5256072795745831,7701,0.8810412155469866,7116.099533437014,4.575652,0.2951668460520623,0.8796927370759939,0.25714681101342024,0.2848170871995658,0.22116688211297497,0.26589726276503733,0.20631909162161308,0.019075626499999998,0.020106815625000007,0.03388137,d__Bacteria;p__Acidobacteriota;c__UBA6911;
3300060478_736,3300060478_736__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,68.0,0.88667,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA4823,g__,s__,3300060478_736__dereplicated_genomes,k__Bacteria,924,163,110,39,116,8,0,0,0,75.47,6.67,11,0.047747343840181006,0,3772519,36246,7628,6859.125454545455,550,550,3670,36246,0.5650296260933344,7628,0.9123914286448922,6859.125454545455,3.772519,0.19932403137282137,0.769317681457568,0.01813775213135887,0.034968278883881064,0.006075996291979714,0.013474230119001646,-0.4650366827026834,0.027871511,0.02773652707222222,0.041034356,d__Bacteria;p__Chloroflexota;c__Anaerolineae;
3300060607_454,3300060607_454__dereplicated_genomes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,79.76,0.93984,-,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__,3300060607_454__dereplicated_genomes,p__Bacteroidetes,350,316,210,57,256,3,0,0,0,79.48,1.19,11,0.012339997455108534,0,2434700,64154,18403,11993.5960591133,203,203,2121,64154,0.41697909393354415,18403,0.9251957119973714,11993.5960591133,2.4347,0.9275830135663401,0.9791981895430706,0.0116929316108476,0.02647923137271308,0.0036466914404341927,0.00907974613939592,0.49126754654786337,0.012285734999999999,0.017805420411111113,0.07552042,d__Bacteria;p__Bacteroidota;c__Bacteroidia;
3300067053_944,3300067053_944__dereplicated_genomes,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__,-,-,-,-,-,GCA_017885175.1,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175,83.04,0.647,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_002403075.1, s__SSS58A sp002403075...",72.57,0.93968,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,g__SSS58A,s__,3300067053_944__dereplicated_genomes,k__Bacteria,2993,147,91,36,109,2,0,0,0,84.66,2.2,11,0.029620268025298095,0,2522234,29152,8896,7808.773993808049,323,323,2360,29152,0.6452406874223406,8896,0.9299981682904916,7808.773993808049,2.522234,0.09305866782090985,0.5944643257813346,0.1446868997678138,0.1724958025087028,0.053497458865651604,0.07735443376519895,-0.327490621621608,0.0124825245,0.012544381719444442,0.030056056,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;
3300060478_833,3300060478_833__dereplicated_genomes,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__,-,-,-,-,-,GCA_903901015.1,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp903901015,78.86,0.422,taxonomic classification defined by topology and ANI,-,"GCA_023488835.1, s__PALSA-986 sp023488...",79.99,0.97628,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__PALSA-986,s__,3300060478_833__dereplicated_genomes,k__Archaea,207,149,107,20,125,4,0,0,0,87.56,3.27,11,0.018355263484019915,0,1363388,38198,10659,9029.059602649008,151,151,1599,38198,0.43114946002165194,10659,0.8653340061669899,9029.059602649008,1.363388,0.15975219936000165,0.7431950144139208,0.4993517885992771,0.5149941337843147,0.9195210935487688,0.9325948531726849,0.0163745310810804,0.029822079,0.030817234113888883,0.09199992,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;
3300060478_487,3300060478_487__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,77.32,0.698,-,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__,g__,s__,3300060478_487__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,45,201,1,0,0,0,77.51,0.16,11,0.02066956793198823,0,3816452,55907,8519,7663.558232931727,498,498,3668,55907,0.557722984594068,8519,0.8422828323269885,7663.558232931727,3.816452,0.6747824477032254,0.9605180220828018,0.05480883343748228,0.0771650681290869,0.113523089532908,0.14679118525705326,-0.2685423097297186,0.032309087,0.03441380120555555,0.0847285,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;
3300055390_1105,3300055390_1105__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__,-,-,-,-,-,GCA_016929815.1,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__JAFGIC01 sp016929815,78.07,0.284,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,81.93,0.9368,-,d__Bacteria,p__Desulfobacterota,c__DSM-4660,o__Desulfatiglandales,f__HGW-15,g__JAFGIC01,s__,3300055390_1105__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,42,200,5,0,0,0,79.5,1.97,11,0.02643175737642724,0,2544053,46976,9397,8076.35873015873,315,315,2427,46976,0.4582683615474992,9397,0.8668608712161264,8076.35873015873,2.544053,0.0028739814046591624,0.15751258090014078,0.05322733583141182,0.07543476733723264,0.015749293561330552,0.028203755833679817,-0.40936327702701,0.028401453,0.028519591047222223,0.07218195,d__Bacteria;p__Desulfobacterota;c__DSM-4660;
3300067053_1663,3300067053_1663__dereplicated_genomes,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__,-,-,-,-,-,GCA_017885175.1,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175,79.55,0.522,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_002403295.1, s__SSS58A sp002403295...",73.33,0.91844,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,g__SSS58A,s__,3300067053_1663__dereplicated_genomes,k__Bacteria,2993,147,91,23,122,2,0,0,0,85.16,1.16,11,0.016365479241189574,0,2432416,60977,13426,10220.235294117647,238,238,2166,60977,0.6201089780695407,13426,0.9369787075894913,10220.235294117647,2.432416,0.7196881910437545,0.9605180220828018,0.007646618887192558,0.019430803954865097,0.0022933724939163606,0.006251996352842053,0.5153222215542235,0.0139059565,0.023357268000000007,0.095322765,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;
3300055390_1133,3300055390_1133__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__;s__,-,-,-,-,-,GCA_020073205.1,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__JAIQFR01;s__JAIQFR01 sp020073205,76.69,0.15,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,81.51,0.764,-,d__Bacteria,p__Acidobacteriota,c__Polarisedimenticolia,o__Polarisedimenticolales,f__Polarisedimenticolaceae,g__,s__,3300055390_1133__dereplicated_genomes,k__Bacteria,2258,188,117,27,156,5,0,0,0,79.7,4.27,11,0.018453279785040105,0,3730218,44048,12162,9589.249357326478,389,389,3468,44048,0.6884739712263466,12162,0.9440413402112156,9589.249357326478,3.730218,0.8679954500863368,0.9740141114890813,0.0011880411806474151,0.009601841618471552,0.0002580657174102035,0.002217164087207212,-0.6191166561665319,0.012833449,0.01814825751944444,0.05581671,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;
3300067053_621,3300067053_621__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__,-,-,-,-,-,-,-,-,-,ANI,-,"GCA_905339155.1, s__Methanoperedens sp...",86.25,0.93049,-,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanoperedenaceae,g__Methanoperedens,s__,3300067053_621__dereplicated_genomes,p__Euryarchaeota,95,228,153,16,208,4,0,0,0,91.5,1.96,11,0.023338294857371666,0,2632243,33862,9717,8329.882911392406,316,316,3146,33862,0.4021034532146158,9717,0.8599346640868644,8329.882911392406,2.632243,0.7207786941910217,0.9605180220828018,0.08664600161118956,0.1134082222923215,0.06118462933543707,0.08700007094872779,0.3161043118774398,0.011044064,0.021051212483333335,0.0926976,d__Archaea;p__Halobacteriota;c__Methanosarcinia;
3300055390_902,3300055390_902__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__,-,-,-,-,-,GCA_015660865.1,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__JACTUA01 sp015660865,82.94,0.728,taxonomic classification defined by topology and ANI,-,-,85.97,0.94179,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__JACTUA01,s__,3300055390_902__dereplicated_genomes,p__Euryarchaeota,90,234,153,10,223,1,0,0,0,97.18,0.65,11,0.0170688844546653,0,1749179,102928,44225,26502.71212121212,66,66,1786,102928,0.651729754359045,44225,0.9013668698286453,26502.71212121212,1.749179,0.7276361288627782,0.9605180220828018,0.007672443617692059,0.019430803954865097,0.006657531765933372,0.014391028261714562,0.4584868702702513,0.135258875,0.14212600952777782,0.2767007,d__Archaea;p__Halobacteriota;c__Methanomicrobia;
3300067053_1200,3300067053_1200__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_014894455.1, s__RBG-16-66-30 sp014...",72.31,0.9491,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__RBG-16-66-30,s__,3300067053_1200__dereplicated_genomes,k__Bacteria,2258,188,117,44,140,4,0,0,0,78.99,1.76,11,0.03363455472634462,0,2594036,38468,9206,7981.649230769231,325,325,2411,38468,0.6398542657079547,9206,0.9252238596534512,7981.649230769231,2.594036,0.49449234398563857,0.9528154520223513,0.00542782804798968,0.016095372831582494,0.0036488699438693884,0.00907974613939592,0.49123593243241204,0.07689472,0.08962355597222224,0.27149507,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;
3300055390_422,3300055390_422__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA877;s__,-,-,-,-,-,-,-,-,-,ANI,classification based on placement in class-level tree,"GCA_009772985.1, s__UBA877 sp009772985...",77.36,0.94117,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__UBA877,s__,3300055390_422__dereplicated_genomes,k__Bacteria,924,163,110,34,128,1,0,0,0,75.96,0.45,11,0.02969423175950996,0,2937108,119617,14931,10641.695652173914,276,276,2885,119617,0.6168121839578252,14931,0.915423947638289,10641.695652173914,2.937108,0.2995361635788696,0.8796927370759939,0.04136023216866395,0.0625518705589688,0.09911344542773926,0.13133298651106007,0.27836702837836685,0.028505925,0.03444716095277777,0.11560713,d__Bacteria;p__Chloroflexota;c__Anaerolineae;
3300055390_1068,3300055390_1068__dereplicated_genomes,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,72.02,0.84189,-,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Thermoguttaceae,g__,s__,3300055390_1068__dereplicated_genomes,k__Bacteria,2921,142,87,13,128,1,0,0,0,88.87,0.57,11,0.01644741026769501,0,6372413,54574,9227,7780.724053724054,819,819,5565,54574,0.650602840713557,9227,0.8754052821121293,7780.724053724054,6.372413,0.6615252172738966,0.9605180220828018,0.0027555336737848015,0.01081989369155867,0.000604658093499548,0.0025828110277916075,0.5796584002702463,0.010825847999999999,0.01763963594722222,0.11960828,d__Bacteria;p__Planctomycetota;c__Planctomycetia;
3300067053_316,3300067053_316__dereplicated_genomes,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__WJJR01;f__WJJR01;g__JACQFV01;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,91.32,0.89257,-,d__Bacteria,p__Zixibacteria,c__MSB-5A5,o__WJJR01,f__WJJR01,g__JACQFV01,s__,3300067053_316__dereplicated_genomes,k__Bacteria,2993,147,91,5,141,1,0,0,0,96.15,1.1,11,0.014482890653152022,0,2582455,82886,29595,20175.4296875,128,128,2234,82886,0.6354496012515223,29595,0.89206239798951,20175.4296875,2.582455,0.7301720007674268,0.9605180220828018,0.11584027383674572,0.1439448375518937,0.14458420744571823,0.184722509811246,0.24617303577431057,0.01135663,0.013890856313888887,0.042022116,d__Bacteria;p__Zixibacteria;c__MSB-5A5;
3300060478_1082,3300060478_1082__dereplicated_genomes,d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JACRCA01;s__,-,-,-,-,-,GCA_016234425.1,d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JACRCA01;s__JACRCA01 sp016234425,77.19,0.265,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,86.28,0.86827,-,d__Bacteria,p__Desulfobacterota_F,c__SM23-61,o__SM23-61,f__SM23-61,g__JACRCA01,s__,3300060478_1082__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,28,207,12,0,0,0,86.23,6.34,11,0.023405587316050133,0,5640744,41278,11085,9171.941463414634,615,615,5641,41278,0.5357016733962754,11085,0.8430121983908506,9171.941463414634,5.640744,0.19598173022792698,0.769317681457568,0.0007128452183023916,0.009601841618471552,0.00014634139107020492,0.002217164087207212,0.6418816183783518,0.0260164065,0.036428310497222234,0.12204186,d__Bacteria;p__Desulfobacterota_F;c__SM23-61;
3300060607_220,3300060607_220__dereplicated_genomes,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__,-,-,-,-,-,GCA_903901015.1,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp903901015,79.86,0.511,taxonomic classification defined by topology and ANI,-,"GCA_023488835.1, s__PALSA-986 sp023488...",95.07,0.97462,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__PALSA-986,s__,3300060607_220__dereplicated_genomes,k__Archaea,207,149,107,1,142,6,0,0,0,99.07,4.21,11,0.02560969359414538,5,2695772,294217,66907,36429.35135135135,74,74,2812,294217,0.4311904552581881,66907,0.8479808381420981,36429.28378378379,2.695772,0.6946844423816043,0.9605180220828018,0.1256412915842517,0.15320362620529837,0.268154978804626,0.31443926281747925,0.18666965432431656,0.024579891,0.025220830175000004,0.11481658,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;
3300055390_157,3300055390_157__dereplicated_genomes,d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,72.0,0.51044,-,d__Bacteria,p__JAGLYR01,c__JAGLYR01,o__,f__,g__,s__,3300055390_157__dereplicated_genomes,k__Bacteria,2993,147,91,37,108,2,0,0,0,87.82,2.2,11,0.013491618967743372,0,2405007,44728,12038,9358.003891050583,257,257,2208,44728,0.6421266133528926,12038,0.9360026810732776,9358.003891050583,2.405007,0.5153695687673447,0.9528154520223513,0.03965545023457779,0.06127268122887832,0.0873736028225397,0.11722853294058617,0.2885633677449393,0.010759204,0.011390951450000002,0.03582926,d__Bacteria;p__JAGLYR01;c__JAGLYR01;
3300055390_1033,3300055390_1033__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_021847835.1, s__UBA6918 sp02184783...",90.69,0.94557,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Thiobacillaceae,g__UBA6918,s__,3300055390_1033__dereplicated_genomes,c__Betaproteobacteria,235,419,211,27,391,1,0,0,0,96.45,0.47,11,0.028631236557253015,0,2532618,278748,103377,52762.875,48,48,2564,278748,0.603987652302874,103377,0.9157508159540839,52762.875,2.532618,0.9978157343095563,0.9999058958679385,0.00448886157495889,0.01423135373394374,0.001090221899620272,0.0036171703336238484,-0.5534591505405176,0.037905579499999995,0.050453955272222226,0.18526310000000001,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;
3300055390_1048,3300055390_1048__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__,-,-,-,-,-,GCF_001645185.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__MM2 sp001645185,79.11,0.462,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,92.19,0.89189,-,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__MM2,s__,3300055390_1048__dereplicated_genomes,c__Betaproteobacteria,323,387,234,19,361,7,0,0,0,94.0,1.88,11,0.01418870253532436,0,1952533,138492,53193,27893.32857142857,70,70,1986,138492,0.5768583680787982,53193,0.9309548161285879,27893.32857142857,1.952533,0.039889330566255495,0.3875181073263463,0.014523576536413113,0.030322393939438107,0.003749945017970481,0.009277320622493444,-0.49123593243241204,0.0319318875,0.033275719141666674,0.10538778,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;
3300060478_349,3300060478_349__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__,-,-,-,-,-,GCA_001795165.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__RBG-16-57-11 sp001795165,79.05,0.369,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,70.96,0.9627,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA4823,g__RBG-16-57-11,s__,3300060478_349__dereplicated_genomes,k__Bacteria,924,163,110,39,115,8,1,0,0,78.17,6.06,11,0.029975560663176422,0,4397057,56814,12315,9814.859375,448,448,4222,56814,0.5925909079641224,12315,0.9175814641474969,9814.859375,4.397057,0.023092961777732294,0.2823939325962692,0.08755961218816628,0.11390733743627711,0.4595181096262815,0.5055880486376567,0.12444643621621106,0.026031735,0.028796323730555556,0.07710465,d__Bacteria;p__Chloroflexota;c__Anaerolineae;
3300055390_368,3300055390_368__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,-,-,-,-,-,GCA_017860675.1,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp017860675,83.92,0.609,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_021802585.1, s__CTSoil-043 sp02180...",76.5,0.95382,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__CTSoil-043,s__,3300055390_368__dereplicated_genomes,k__Bacteria,924,161,108,23,136,2,0,0,0,80.56,1.03,11,0.016562326903517968,0,1879419,28482,7224,6328.010101010101,297,297,1932,28482,0.7341726352665372,7224,0.9114284786947455,6328.010101010101,1.879419,0.0001841862934978547,0.04605202381431755,0.4752121258044577,0.4924716461121256,0.2395268760822139,0.28319752199775566,-0.19976927918918091,0.043756261500000004,0.045014042194444465,0.07247449,d__Bacteria;p__Chloroflexota;c__Limnocylindria;
3300060478_1038,3300060478_1038__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__,-,-,-,-,-,GCA_018268835.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp018268835,78.51,0.378,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017883345.1, s__Solibacter sp01788...",85.56,0.95962,-,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__,3300060478_1038__dereplicated_genomes,k__Bacteria,2258,184,114,12,166,6,0,0,0,91.23,4.39,11,0.014609312490264823,0,9454902,105516,21679,14412.960365853658,656,656,8347,105516,0.6306335063018105,21679,0.903087308572844,14412.960365853658,9.454902,0.8638425724903761,0.9734677201227177,0.0016764525946834077,0.00983422905172694,0.0003694290170266032,0.0022990828067309802,-0.6033597689212367,0.011431979,0.015238226822222221,0.04799848,d__Bacteria;p__Acidobacteriota;c__Terriglobia;
